sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP
BRDN0007696668	BRDN0007696668_NegCtrl	540.9029982003127	550.486652406966	524.7611229933927	241.8523344728459	389.6933779733509	401.3914370614117	389.2988212285107
BRDN0007696667	BRDN0007696667_NegCtrl	929.9191946137181	896.998339859565	920.4547853152715	621.6741214973154	765.7133040879878	924.2122164271159	577.1012676503049
BRDN0007696666	BRDN0007696666_NegCtrl	542.9694852994543	478.72678521820075	486.55036161037873	352.22789651414473	546.9380743485626	330.55765405057434	776.641366973461
BRDN0007696665	BRDN0007696665_NegCtrl	874.6406647116804	804.5952232055387	788.8399405515564	1178.4214417938667	1211.809670978534	1273.3215755519573	1283.3167172155931
BRDN0007696664	BRDN0007696664_NegCtrl	924.2363550910787	851.2882874722009	789.2645045669233	808.3386749495119	816.9887485581655	635.817528454421	917.4932017898067
BRDN0007696663	BRDN0007696663_NegCtrl	851.3926848463375	773.6303490076468	821.5313697348018	675.2387324879456	1010.1262560625017	1040.582002802063	760.9911631049782
BRDN0007696662	BRDN0007696662_NegCtrl	556.4016514438747	597.6712226132773	574.0105487759442	249.9681846229414	258.086403833228	438.49484720994553	293.4413225340533
BRDN0007696661	BRDN0007696661_NegCtrl	678.3243902932288	650.7538640953776	596.087877575019	417.1546977149087	398.2392853850472	364.2880269128778	297.353873501174
BRDN0007696660	BRDN0007696660_NegCtrl	842.0934929002003	705.3110233964251	824.9278818577365	1081.0312399927207	1040.8915227446084	885.4222876354669	899.8867224377634
BRDN0007696659	BRDN0007696659_NegCtrl	1052.3585552378577	969.2497129879794	1058.4380903094889	831.0630553697792	1083.6210598030898	910.7200672821946	925.3183037240481
BRDN0007696658	BRDN0007696658_NegCtrl	665.4088459235938	719.5646956462483	740.8642068151055	728.8033434785759	1355.3809154950318	1248.0237959052295	813.8106011611078
BRDN0007696657	BRDN0007696657_NegCtrl	1027.044088273373	963.3516417121904	1018.9536368803743	1504.6786178277057	1083.6210598030898	1775.9041312002794	1117.0333011129628
BRDN0007696656	BRDN0007696656_NegCtrl	716.5544016273483	768.2237836715069	729.8255424155682	732.0496835386141	1112.6771450028573	467.1656641429035	862.7174882501167
BRDN0007696655	BRDN0007696655_NegCtrl	807.4798339895785	740.2079451115096	719.2114420313976	637.9058217975063	587.9584299247049	745.4412402569073	622.0956037721929
BRDN0007696654	BRDN0007696654_NegCtrl	649.3935709052465	684.1762679915148	713.6921098316288	735.2960235986524	1018.672163474198	1069.252819735021	1252.0163094786274
BRDN0007696653	BRDN0007696653_NegCtrl	988.8140769392536	984.4863971171008	1002.3956402810683	1819.5736036514113	2138.186034406412	2698.42982898428	1210.93452432386
BRDN0007696652	BRDN0007696652_NegCtrl	817.8122694852865	749.546557964842	758.695895460512	1152.450721313561	958.8508115923239	1652.7882702528716	1271.579064314231
BRDN0007696651	BRDN0007696651_NegCtrl	736.7026508439789	737.2589094736151	837.6648023187411	1107.0019604730262	875.1009189577003	1509.4341855880816	876.4114166350391
BRDN0007696650	BRDN0007696650_NegCtrl	1124.6856037078135	1096.0582454174412	1128.4911528450145	1285.5506637751273	1531.4266081759756	1214.293423042926	1412.4308991305766
BRDN0007696649	BRDN0007696649_NegCtrl	986.2309680653266	985.960914936048	1002.8202042964351	1420.2737762667125	1240.8657561783016	1094.5505993817487	1449.6001333182232
BRDN0007696648	BRDN0007696648_NegCtrl	793.5310460703728	775.104866826594	809.6435773045308	751.5277238988433	661.4532336652929	1401.4969924287104	1015.3069759678244
BRDN0007696647	BRDN0007696647_NegCtrl	569.3171958135097	570.146889992929	525.6102510241265	392.80714726462224	468.3157261609568	807.8424300521689	682.740143762564
BRDN0007696646	BRDN0007696646_NegCtrl	336.8373971600801	325.86843798733787	290.4017865109067	191.53406354225382	230.73950011579987	258.03735239662177	322.7854547874586
BRDN0007696645	BRDN0007696645_NegCtrl	916.4870284692977	880.2871379114964	886.0651000705589	746.6582138087861	1187.8811302257845	1494.255517800045	956.6187114610137
BRDN0007696644	BRDN0007696644_NegCtrl	767.1833355563174	737.7504154132641	713.2675458162621	1102.132450382969	1104.131237591161	890.4818435648125	1136.5960559485663
BRDN0007696643	BRDN0007696643_NegCtrl	921.1366244423663	827.6960023690452	805.8225011662294	717.4411532684422	827.2438374522011	448.6139590686366	907.7118243720049
BRDN0007696642	BRDN0007696642_NegCtrl	431.8958037205935	437.4402862876783	429.2342195358577	254.8376947129987	244.41295197451396	111.31023044560156	311.04780188609647
BRDN0007696641	BRDN0007696641_NegCtrl	685.040473365439	578.9939969066124	665.7163760951779	1400.7957359064833	1022.0905264388765	865.1840639180848	1431.99365396618
BRDN0007696640	BRDN0007696640_NegCtrl	790.4313154216604	740.6994510511587	776.9521481212854	665.499712307831	1020.3813449565373	1097.923636667979	743.384683752935
BRDN0007696639	BRDN0007696639_NegCtrl	633.8949176616845	671.8886195002879	641.516227219269	886.2508363904286	798.1877522524337	676.2939758891852	825.5482540624699
BRDN0007696638	BRDN0007696638_NegCtrl	578.0997659848614	645.8388046988869	592.6913654520844	493.44368912580643	422.1678261377968	391.2723252027206	252.35953737928583
BRDN0007696637	BRDN0007696637_NegCtrl	654.5597886531004	807.052752903784	660.1970438954093	1038.828819212224	586.2492484423656	748.8142775431377	539.9320334626581
BRDN0007696636	BRDN0007696636_NegCtrl	702.6056137081425	731.8523441374753	720.0605700621312	452.8644383753289	1032.345615332912	834.8267283420116	676.871317311883
BRDN0007696635	BRDN0007696635_NegCtrl	859.6586332429039	1025.2813901079742	987.1113357278626	1488.4469175275149	777.6775744643626	661.1153081011487	1183.546667554015
BRDN0007696634	BRDN0007696634_NegCtrl	703.6388572577133	663.5330185262536	733.2220545385027	1215.754352484306	649.4889632889182	1303.6789111280302	1518.0697752428357
BRDN0007696633	BRDN0007696633_NegCtrl	545.5525941733813	537.2159920364409	562.1227563456732	769.3825942290534	1015.2538005095195	1101.2966739542094	1520.026050726396
BRDN0007696632	BRDN0007696632_NegCtrl	712.9380492038506	687.6168095690583	731.9483624924022	569.7326805367042	678.5450484886856	548.1185590124319	727.7344798844522
BRDN0007696631	BRDN0007696631_NegCtrl	1040.992876192579	1077.8725256504254	1005.7921524040029	1168.682421613752	798.1877522524337	1300.3058738418	1138.5523314321267
BRDN0007696630	BRDN0007696630_NegCtrl	885.4897219821738	990.8759743325387	906.4441728081664	1027.4666290020903	647.779781806579	1163.6978637494708	929.2308546911688
BRDN0007696629	BRDN0007696629_NegCtrl	101.77448963272359	92.8946225936755	88.30931519629911	126.60726234148981	5.127544447017775	69.14726436772217	91.9449477273367
BRDN0007696628	BRDN0007696628_NegCtrl	851.3926848463375	800.1716697486969	841.0613144416757	1202.7689922441532	967.3967190040203	1141.7731213889735	1430.0373784826197
BRDN0007696627	BRDN0007696627_NegCtrl	640.0943789591093	521.9793079073195	549.3858358846685	829.4398853397602	827.2438374522011	279.9620947571191	547.7571353968995
BRDN0007696626	BRDN0007696626_NegCtrl	1164.4654803662893	1057.7207821248132	1091.554083508101	1197.899482154096	1531.4266081759756	1627.490490606144	1598.2770700688102
BRDN0007696625	BRDN0007696625_NegCtrl	969.1824494974085	1007.5871762806073	959.939238744386	1567.9822489984506	1032.345615332912	1381.2587687113285	1791.9483429412855
BRDN0007696624	BRDN0007696624_NegCtrl	644.2273531573925	743.156980749404	670.386580264213	1003.1190785518039	986.1977153097521	650.9961962424576	970.3126398459362
BRDN0007696623	BRDN0007696623_NegCtrl	491.8239295956998	491.99744558872584	492.06969381014744	423.64737783498515	292.2700334800132	536.3129285106256	117.37652901362132
