sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007696675	BRDN0007696675_NegCtrl	1496.2991697446596	1473.8464327382048	1536.8168748705575	2241.5827010691223	2134.0130220884585	2122.996610681721
BRDN0007696674	BRDN0007696674_NegCtrl	1092.9393492448069	1233.592226231904	1309.9228114557175	1146.458328027719	1139.4454851885164	1039.3324474567125
BRDN0007696673	BRDN0007696673_NegCtrl	1526.1367455076625	1632.2202818701612	1407.2943528402236	2029.592479551559	2055.700617608148	2182.1055650394487
BRDN0007696672	BRDN0007696672_NegCtrl	869.7100787216006	858.6663793072729	897.4716597421009	541.8584137444444	536.4399706901263	469.9161871439355
BRDN0007696671	BRDN0007696671_NegCtrl	1142.6686421831448	1085.992108333414	1145.493510438485	1304.262708170838	1275.5132879730559	1230.4513998800323
BRDN0007696670	BRDN0007696670_NegCtrl	1108.410684825623	1094.6110933201874	967.2852177158978	1373.6586102819685	1347.952262117343	1270.842518691146
BRDN0007696669	BRDN0007696669_NegCtrl	1495.1940743460298	1632.2202818701612	1542.3284715526995	1523.8579600567443	1468.3575840058202	1355.565353270556
BRDN0007696668	BRDN0007696668_NegCtrl	1157.0348823653312	1206.657898148238	1135.388916521225	774.7624687749511	842.8372532193408	729.9955863179374
BRDN0007696667	BRDN0007696667_NegCtrl	1989.171717533521	1966.2059501076199	1991.5236011472618	2019.1355627950875	1917.675004711601	1885.5756440115147
BRDN0007696666	BRDN0007696666_NegCtrl	1161.4552639598503	1049.3614221396283	1052.7149662890968	1053.2967060155165	1092.4580425003303	1035.3918504995308
BRDN0007696665	BRDN0007696665_NegCtrl	1870.9265098801393	1763.6598029184513	1706.7577725699318	2876.6027368257696	2877.9808646514075	2919.9823452717496
BRDN0007696664	BRDN0007696664_NegCtrl	1977.0156681485937	1866.0102496363822	1707.6763720169556	3001.1351091073875	3080.6142112442108	3071.695328123251
BRDN0007696663	BRDN0007696663_NegCtrl	1821.1972169418013	1695.785296147613	1777.4899299907524	2183.5943445105067	2219.177761960796	2342.6848910446092
BRDN0007696662	BRDN0007696662_NegCtrl	1190.1877443242233	1310.0857179895156	1241.9464523759677	1143.6064416395905	1216.778984612823	1205.8226688976456
BRDN0007696661	BRDN0007696661_NegCtrl	1450.9902584008405	1426.4420153109527	1289.7136236211973	514.2901786592007	539.376685858138	530.0102907409587
BRDN0007696660	BRDN0007696660_NegCtrl	1801.305499766466	1546.03043200243	1784.8387255669418	1500.0922401556722	1631.834728358468	1426.4960984998293
BRDN0007696659	BRDN0007696659_NegCtrl	2251.079327008768	2124.579799239576	2290.0684214299463	2507.75876396113	2487.3977473058594	2325.937353976586
BRDN0007696658	BRDN0007696658_NegCtrl	1423.362873435097	1577.2742525794824	1602.95603505626	4193.223619345165	4239.637797552805	4426.275532154512
BRDN0007696657	BRDN0007696657_NegCtrl	2196.9296524759106	2111.6513217594165	2204.6386728567472	2244.4345874572514	2402.233007433522	2117.085715245948
BRDN0007696656	BRDN0007696656_NegCtrl	1532.7673178994407	1683.9341917908	1579.0724494336453	1399.3255877751265	1401.7920401975564	1242.2731907515779
BRDN0007696655	BRDN0007696655_NegCtrl	1727.264108058274	1622.5239237600415	1556.1074632580542	1139.803926455419	1114.9728587884194	1050.1690890889627
BRDN0007696654	BRDN0007696654_NegCtrl	1389.1049160775754	1499.7033876985242	1544.1656704467468	1540.0186495894734	1538.8387480380995	1571.313036676262
BRDN0007696653	BRDN0007696653_NegCtrl	2115.1525929773106	2157.978366063322	2168.813294422825	2868.047077661384	2949.440933739691	3097.3092083449333
BRDN0007696652	BRDN0007696652_NegCtrl	1749.3660160308686	1642.9940131036276	1641.537211831253	2271.052193746452	2286.722210825064	2267.813548858154
