sgRNA	Gene	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007695610	Lmnb2	429.08273505180887	390.41258161692593	383.3220936143303	359.6755758823609	397.57668250802857	384.01586745538515
BRDN0007695609	Lmnb2	674.5579741744716	689.4947135496866	648.3228266997475	716.6055366816503	702.0568966601827	745.4425662369241
BRDN0007695608	Lmnb2	561.7990228701591	605.1896830719957	585.7396277423057	1109.2284935608686	1075.538022652573	1020.6197119001413
BRDN0007695607	Lmnb1	416.1104663176844	410.48520792113806	385.27781858175035	314.830529525527	314.33748727218784	336.7839693191613
BRDN0007695606	Lmnb1	463.0102071256728	459.66314236645775	475.24116708307275	627.8306489956732	576.102851237529	589.3719463085323
BRDN0007695605	Lmnb1	481.9696768140086	465.68493025772136	527.0678787197041	512.514815506672	504.91143425950736	521.6044402869937
BRDN0007695604	Lmnb1	431.07846870321265	440.59414737745624	441.01598015322185	527.1580959497197	488.4826457261177	472.3189813622384
BRDN0007695603	Lmnb1	395.1552629779449	453.64135447519413	389.18926851659046	455.77210378986183	489.57789829501036	427.140644014546
BRDN0007695602	Lmnb1	273.4155102423154	295.06760667191827	311.9381323034984	334.04983510702726	362.5286003034641	284.41816921160876
BRDN0007694107	Lipo2	527.8715507962951	551.9972233658335	531.9571911382543	593.9680629711252	638.5322476644095	618.1217973479728
BRDN0007694106	Lipo2	145.68855655247464	142.5156467599061	144.7236475890839	142.77198431971576	178.52616872950043	204.3292984588814
BRDN0007694105	Lipo2	378.19152694101297	418.5142584428229	403.85720577224083	410.01185240533755	380.05264140574633	373.74806351272775
BRDN0007694104	Lipo2	595.726494944023	577.0880062460988	623.8762646069968	593.0528579434347	615.531943717664	584.2380443372036
BRDN0007694103	Lipo2	673.5601073487697	734.658122734164	730.4632753313896	630.5762640787445	705.3426543668606	727.9872995344066
BRDN0007694102	Lipo2	894.0886758288855	883.1955573853337	805.7586865770617	823.6845249214371	832.3919523584069	872.7633351258753
BRDN0007694101	Lin7a	563.7947565215628	669.4220872454745	586.7174902260158	640.6435193833399	645.1037630777654	612.9878953766441
BRDN0007694100	Lin7a	740.4171846707958	735.6617540493745	748.0648000381701	839.2430103921753	741.4859891403178	803.969048710071
BRDN0007694099	Lin7a	874.1313393148479	919.3262847329155	895.722035078384	859.377521001366	854.2970037362597	980.5752765237776
BRDN0007694098	Lin7a	480.9718099883067	544.9718041593593	472.3075796319427	450.28087362371895	427.14850186812987	436.38166756293765
BRDN0007694097	Lin7a	553.8160882645441	640.3167791043669	573.0274154540754	476.821819426743	412.9102184725255	472.3189813622384
BRDN0007694096	Lin7a	560.8011560444572	520.8846525943047	598.4518400305361	636.0674942448875	604.5794180287377	626.3360405020987
BRDN0007692013	Limch1	518.8907493649782	522.891915224726	480.1304795016229	490.5498948421003	511.4829496728632	511.33663634433634
BRDN0007692012	Limch1	910.0545450401156	935.3843857762852	910.3899723340345	938.0851533827478	884.9640756652536	952.8522058786027
BRDN0007692011	Limch1	525.8758171448914	541.9609102137275	530.9793286545442	518.9212507005053	541.0547690329645	553.4346325092315
BRDN0007692010	Limch1	540.8438195304195	478.73213735545926	558.359478198425	426.4855429037663	458.91082636601647	451.78337347692366
BRDN0007692009	Limch1	573.7734247785817	573.0734809852563	548.5808533613248	591.2224478880537	642.9132579399801	555.488193297763
BRDN0007692008	Limch1	633.6454343206946	663.4002993542109	639.5220643463572	686.4037707678642	686.7233606956856	696.1571073121688
BRDN0007696468	Lig4	217.53496800301008	243.88240959617735	250.33279582976672	211.41236139650218	171.95465331614457	221.7845651613989
BRDN0007692007	Lhx9	654.600637660434	645.3349356804199	675.7029762436282	1228.2051471606317	1284.7312633110676	1274.234469283778
BRDN0007692006	Lhx9	754.3873202306221	851.0793552985942	805.7586865770617	709.2838964601264	723.9619480380355	767.0049545165045
BRDN0007692005	Lhx9	692.5195770371055	744.69443588627	757.8434248752703	789.821938896889	794.0581124471645	749.549687813987
BRDN0007692004	Lhx9	570.779824301476	555.0081173114654	509.46635401292366	595.7984730265061	587.0553769264554	638.6574052332876
