sgRNA	Gene	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007696201	Ube2f	700.9454047611293	613.9094001166571	670.9907616149255	728.7638120061204	705.8763491901225	642.0789260183026
BRDN0007696200	Ube2f	337.9929622364496	349.1427867962031	381.6380119786897	323.48658490057295	305.6598521415172	377.20848623226124
BRDN0007696199	Ube2f	404.5515763383966	450.9760996117624	424.896728701715	439.2800783593008	418.9079268558204	473.05654420931126
BRDN0007696198	Ube2f	326.55320043767745	304.53009737224386	326.8436374628577	268.3468261107026	258.38152968797317	259.71731838942577
BRDN0007696197	Ube2f	853.8222215265389	822.4252311199451	818.0703984732114	686.4899969338863	710.2743326741731	685.3651457498736
BRDN0007696196	Ube2f	484.6299089298016	499.4681533334572	530.6402584691101	495.33883312900235	494.77314195569335	551.3839894378682
BRDN0007696195	Ube2e1	863.1820266346251	923.2887028610704	908.4330511835309	809.6354582312636	802.6319858392359	815.2238049445865
BRDN0007696194	Ube2e1	501.26956245528834	473.282444323742	496.0332850906899	445.713050218119	432.1018773079722	473.05654420931126
BRDN0007696193	Ube2e1	430.55103497196967	499.4681533334572	494.1106754585555	384.1403195694304	348.54019111101064	352.4735035285064
BRDN0007696192	Ube2e1	356.7125724526222	350.112627870637	372.02496381801745	391.4922874080798	407.91296814569387	413.2803360085704
BRDN0007696191	Ube2e1	642.7066174219257	646.8839966474096	635.4224834204381	772.8756190380167	782.8410601610082	780.1825794476005
BRDN0007696190	Ube2e1	309.9135469121907	377.26817795478615	331.65016154319386	382.30232760976804	400.2164970486053	412.2497117292473
BRDN0007693441	Ube2d3	430.55103497196967	530.503067715342	466.23283579260584	497.1768250886647	481.57919150354155	492.63840551645046
BRDN0007693440	Ube2d3	293.27389338670395	249.24915612951168	283.5849207398324	281.212769828339	333.1472489168335	279.29917969656503
BRDN0007693439	Ube2d3	178.87627539898256	162.9333005048948	195.1448776616474	183.79919596623463	185.81480220113818	187.5736188368075
BRDN0007693438	Ube2d3	98.79794280757758	105.71267711329483	137.46658869761367	126.8214452167019	130.84000865050558	143.25677482591342
BRDN0007693437	Ube2d3	356.7125724526222	366.59992613601327	339.34060007173167	409.8722070047032	415.6094392427824	393.69847470143117
BRDN0007693436	Ube2d3	404.5515763383966	434.4888013463861	407.5932420125049	304.1876693241183	295.76438930240334	340.106012176629
BRDN0007693435	Uba3	284.9540666239606	281.2539115858303	240.32620401680714	259.15686631239083	277.0729594951883	255.59482127213332
BRDN0007693434	Uba3	88.39815935414836	118.3206110809355	116.31788274413465	137.84939697467598	159.42690129683453	128.82803491538976
BRDN0007693433	Uba3	319.273352020277	328.77612423309125	291.2753592683702	248.12891455441675	274.87396775316296	242.19670564093278
BRDN0007693432	Uba3	231.91517101147159	200.7571024078168	222.0614125115298	260.07586229222204	274.87396775316296	264.87043978604135
BRDN0007693431	Uba3	434.71094835334134	389.87611192242684	424.896728701715	385.05931554926156	445.29582776012404	405.03534177398546
BRDN0007693430	Uba3	392.07183619428156	448.06657638846065	394.1349745875637	323.48658490057295	283.6699347212642	274.14605829994946
BRDN0007696189	Txndc9	755.0242787189613	766.174448802779	863.2517248283712	1043.9794330882128	1098.3963751416393	1014.1342908539483
BRDN0007696188	Txndc9	387.91192281290984	422.8507084531793	416.24498535710995	527.5036924230934	592.6282744758194	522.5265096168209
BRDN0007696187	Txndc9	299.5137634587615	268.64597761818965	246.0940329132105	299.5926894249625	341.9432158849347	312.2791566349048
BRDN0007696186	Txndc9	262.07454302641634	267.6761365437557	298.9657977969081	267.4278301308714	313.3563232386058	296.81979244505806
BRDN0007696185	Txndc9	547.0286096503769	547.9602070551521	520.0659054923706	472.36393363322304	459.5892740832885	467.9034228126956
BRDN0007696184	Txndc9	566.7881982118924	556.6887767250572	596.9702907777489	540.3696361407299	571.737852926579	577.1495964209462
BRDN0007694647	Txndc15	550.1485446864057	596.452260776847	530.6402584691101	520.1517245844441	540.9519685382247	609.0989490799628
BRDN0007694646	Txndc15	943.2603592260301	938.8061600520128	881.5165163336485	1034.789473289901	951.0639284259439	1096.5842331997978
BRDN0007694645	Txndc15	297.43380676807567	297.7412098512066	261.47490997028615	235.26297083678034	267.1774966560744	275.17668257927255
BRDN0007694644	Txndc15	812.223087712822	919.4093385633349	924.7752330566739	903.3730481740432	927.9745151346782	873.9693888660042
BRDN0007694643	Txndc15	547.0286096503769	509.16656407779624	515.2593814120345	349.21847233584583	381.5250672413902	353.50412780782955
BRDN0007694642	Txndc15	357.7525507979651	336.53485282856246	295.1205785326392	294.9977095258066	269.3764883980997	271.05418546198007
BRDN0007693429	Tulp4	362.9524425246797	424.7903906020471	390.2897553232948	277.5367859090143	387.0225465964535	369.9941162769994
BRDN0007693428	Tulp4	553.2684797224344	516.9252926732674	532.5628681012446	572.5344954348209	546.449447893288	601.884579124701
BRDN0007693427	Tulp4	458.63045029622856	451.94594068619625	480.6524080336143	517.3947366449505	495.872637826706	479.24028988525
BRDN0007693426	Tulp4	409.7514680651112	482.0110139936471	475.84588395327813	486.1488733306906	488.1761667296174	505.0058968683279
BRDN0007693425	Tulp4	964.0599261328886	1086.2220033659653	995.9117894456488	901.5350562143809	890.5916555202481	969.8174468430542
BRDN0007693424	Tulp4	1076.3775874299242	1180.2965875860534	1094.9261855005732	1022.8425255520958	1020.3321682997409	1093.4923603618283
BRDN0007693423	Tuba1c	157.0367301467812	148.38568438838632	178.8026957885045	189.3131718452217	181.41681871708755	157.68551473643709
BRDN0007693422	Tuba1c	693.6655563437289	717.6823950810842	693.1007723844717	643.2971858818213	734.4632418364515	672.9976543979961
