sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM
BRDN0007693385	Tpgs1	842.5332225433925	888.7178807339467	898.2624976901728	537.959273660033	342.00773696297847	603.7882822282844	765.7497214039593
BRDN0007693384	Tpgs1	583.7795260884814	566.3212878293979	588.8789215972446	537.959273660033	849.9400195812633	1307.873621305121	325.2742179415048
BRDN0007693383	Tpgs1	599.3729691893423	670.7929110433353	579.5893364142977	857.1484426983193	535.0220043579267	569.6872828997767	243.9556634561286
BRDN0007693382	Tpgs1	542.8467379487214	524.2490051776313	490.3285396564163	1239.0995269969426	284.44207826623955	1169.463682854119	452.33445932490514
BRDN0007693381	Tpcn2	771.3881383957146	739.3376412063258	772.6511502164121	1005.9838417442617	1005.705919584204	447.324873544543	1753.4313310909242
BRDN0007693380	Tpcn2	718.7602679303088	724.6832506197554	710.8552139994174	249.25446346248197	550.2599728364753	619.8358113240528	1399.356791769182
BRDN0007693379	Tpcn2	550.6434594991518	529.921672501465	582.012706462023	898.3919870122551	499.4667445746468	585.7348119955451	584.4771103636415
BRDN0007693378	Tpcn2	817.6811726013955	864.1363223306672	820.3107611550095	649.1375235497732	888.8814945819985	808.394278199331	576.0064276047481
BRDN0007693377	Tpcn2	701.2176444418403	655.1930759027925	762.5537750175567	1798.5771716033769	1688.0282859014335	1327.9330326748316	2253.201613865632
BRDN0007693376	Tpcn2	636.8946916507889	704.8289149863375	669.2540281801332	2132.1119212725976	3057.7523413620747	930.7566875545648	1028.3408869296532
BRDN0007696141	Top2a	412.25165197901106	433.9590502732782	349.7730768883497	579.2028179739689	88.04159565383604	499.4793431057901	382.8748607019796
BRDN0007696140	Top2a	542.8467379487214	436.3226616582089	443.4767187337274	312.0163787228191	84.65538043638081	26.07723478062358	110.1188758656136
BRDN0007696139	Top2a	324.0512394397664	298.76047905524166	304.5368359974777	324.5687617748866	419.89068696444883	343.01593442204864	88.09510069249089
BRDN0007696138	Top2a	567.6987878907186	499.19472449736577	540.4115206427389	649.1375235497732	453.75283913900114	310.9208762305119	162.6371089707524
BRDN0007696137	Top2a	330.38607569949113	345.55998447686966	313.8264211804246	44.82993947166942	11.851753261093315	0.0	11.858955862450696
BRDN0007696136	Top2a	366.44591287023206	370.1415428801491	396.6248978110385	331.7415520903537	23.70350652218663	186.55252573830717	37.27100413913076
BRDN0007693375	Tomm40	650.5389543640423	558.7577313976196	622.4022072574444	437.5402092434935	680.6292587085018	363.0753457917591	553.9826524316254
BRDN0007693374	Tomm40	694.3955130852137	765.3373664405636	690.2565685937524	68.14150799693752	184.54872935131016	50.148528424276115	265.9794386292513
BRDN0007693373	Tomm40	335.74632176541206	381.9595998048026	336.8484366338148	242.08167314701484	758.5122087099721	154.45746754677043	16.941365517786707
BRDN0007693372	Tomm40	285.55492678451594	254.3245850185443	272.2252353611405	1.7931975788667767	0.0	0.0	0.0
BRDN0007693371	Tomm40	379.60288048658344	389.52315623658086	353.0042369519834	17.931975788667767	455.4459467477288	581.722929721603	110.1188758656136
BRDN0007693370	Tomm40	567.2114927938167	614.5389600819843	581.2049164461146	179.31975788667768	89.73470326256366	184.54658460133612	289.6973503541527
BRDN0007696135	Tomm20	382.03935597109296	418.83193740972166	419.24301825647456	143.45580630934214	143.9141467418474	561.6635183518925	191.4374303509898
BRDN0007696134	Tomm20	439.0528823086158	433.01360571930593	398.6443728508096	299.46399567075173	111.74510217602267	202.6000548340755	242.26152690434992
BRDN0007696133	Tomm20	463.417637153711	406.541158208082	455.99746398030805	159.59458451914313	760.2053163186997	2001.9292546971026	147.38988000474436
BRDN0007696132	Tomm20	333.79714137780445	352.1780963546757	361.4860321190219	154.2149917825428	77.88295000147035	228.6772896146991	94.87164689960557
BRDN0007696131	Tomm20	721.6840385117202	665.5929659964877	687.8331985460271	267.18643925114975	203.17291304731395	515.5268722015585	247.34393655968594
