sgRNA	Gene	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007694622	Tmem161a	2217.00728187874	2103.478654440574	2119.2539815682303	1692.4796823623772	1736.1174729576594	1685.5872793400376
BRDN0007694621	Tmem161a	2038.7164864828972	2141.6305412428255	2150.108582540105	1485.5319297322856	1624.9752947771472	1649.6472520619984
BRDN0007694620	Tmem161a	1214.2599823077114	1277.2340611559846	1307.320870808334	1147.03599325981	1029.0232703954339	1216.5699233616263
BRDN0007694619	Tmem161a	451.81766783542747	441.3091383842568	466.2473035750002	436.3549512820536	479.06111284703627	479.79936416182306
BRDN0007694618	Tmem161a	1133.420056445	1150.250915530579	1138.7633284619797	1039.551501583716	1069.264403874585	1006.3207637850971
BRDN0007696383	Tmem154	1189.8972649244286	1191.8193892106447	1303.892581811459	702.6598112556599	781.8277361663633	898.5006819509796
BRDN0007694617	Tmem139	909.1723168943283	924.1867504485791	941.065329642188	683.4088575226281	774.1627583608106	731.3795551080973
BRDN0007694616	Tmem139	1348.8086260381144	1248.7625038408712	1353.6027722661465	1121.368054949101	1136.33295967317	1054.83980061045
BRDN0007694615	Tmem139	1159.443868195325	1143.9871729212541	1100.4807679968756	1519.221098765091	1479.340716471648	1568.7821906864103
BRDN0007694614	Tmem139	435.20672416500736	502.80770218490164	459.3907255812502	521.3799969362773	500.1398018123059	544.4914132622936
BRDN0007694613	Tmem139	812.2751454835443	855.8550128923072	881.6416536963546	776.4551338989484	783.7439806177514	810.4476151197836
BRDN0007694612	Tmem139	1341.0568523252516	1296.5947201302617	1337.60409028073	1232.0610389140338	1119.0867596106768	1069.2158115216657
BRDN0007694845	Tmem121b	2827.7363108278532	2872.2107019486343	2847.194011904689	2250.7573406202987	2268.833430443564	2316.3347580696254
BRDN0007694844	Tmem121b	859.3394858830679	859.8410309164229	884.4985611937504	1103.7213473604886	1055.850692714868	1155.4718769889596
BRDN0007694843	Tmem121b	455.6935546918589	494.83566613666994	504.5298640401044	709.0767958333371	680.2667802427915	643.3264882769014
BRDN0007694842	Tmem121b	956.2366572938521	1026.1149256366848	1089.053138007292	1305.8563615573223	1180.4065820550975	1297.4349847372146
BRDN0007694841	Tmem121b	1209.8303973289328	1285.2060972042163	1227.8988423807298	1172.7039315705192	1088.4268483884664	1157.2688783528617
BRDN0007694840	Tmem121b	1115.7017165298853	1225.4158268424783	1158.7616809437507	1281.7926693910324	1220.6477155342484	1247.1189465479597
BRDN0007696374	Tmco6	1254.1262471167197	1255.5956775964985	1178.1886519260422	1161.474208559584	1199.5690265689789	1162.6598824445675
BRDN0007696105	Tm9sf3	635.0917463323963	620.1105183231687	628.5196494270837	733.1404879996269	649.6068690205813	654.1084964603131
BRDN0007696104	Tm9sf3	575.2923491188837	613.8467757138437	580.5236034708336	643.3027039121453	620.8632022497591	555.2734214457054
BRDN0007696103	Tm9sf3	713.7168797057182	584.2363561061259	644.5183314125003	813.3527952205926	848.8962919649483	779.8985919334502
BRDN0007696102	Tm9sf3	400.3237424571251	417.9624613858639	381.68284165208354	558.2776582579215	521.2184907775754	495.9723764369407
BRDN0007696101	Tm9sf3	645.0583125346483	596.1944101784734	616.5206379380211	758.8084263103359	703.2617136594492	794.2746028446659
BRDN0007696100	Tm9sf3	831.6545797657011	873.5073784276774	793.0775212770837	946.5052252073957	1153.5791597356633	981.1627446904697
BRDN0007694611	Tlnrd1	893.6687694686029	945.255702861763	926.2094106557296	1047.5727323058125	1092.2593372912427	1126.7198551665283
BRDN0007694610	Tlnrd1	854.356202781942	849.5912702829822	855.9294862197921	636.8857193344679	607.449491090042	634.3414814573915
BRDN0007694609	Tlnrd1	607.4068402150293	629.7908478103071	600.5219559526045	705.8683035444985	707.0942025622255	652.3114950964111
BRDN0007694608	Tlnrd1	406.4144218029458	441.8785695305591	377.1117896562502	550.256427535825	599.7845132844894	558.8674241735092
BRDN0007694607	Tlnrd1	756.3516351264632	706.6640525611132	849.072908226042	593.5710734351464	544.2134241942332	562.4614269013132
BRDN0007694606	Tlnrd1	462.3379321600269	391.7686286559596	436.53546560208355	558.2776582579215	615.1144688955945	544.4914132622936
BRDN0007696356	Tle3	730.3278233761383	708.9417771463222	682.8008918776045	802.1230722096574	852.7287808677246	774.5075878417443
BRDN0007696352	Tlcd3a	1023.7878282202273	973.1578290305741	974.2054566119797	1129.3892856711975	1017.525803687105	1232.7429356367438
BRDN0007696099	Tk1	210.4052864919883	183.9262602556322	157.12991235677092	349.72565948341065	350.67273460403055	330.6482509579605
BRDN0007696098	Tk1	211.51268273668296	211.258955278141	255.4075302671876	420.3124898378605	480.9773572984244	488.78437098133287
BRDN0007696097	Tk1	1449.0279861829827	1433.2581952428056	1400.4560552234382	1376.4431919117721	1297.2974935897741	1322.593003831842
BRDN0007696096	Tk1	340.52434524361263	275.6046748102972	339.4006106906252	482.87808947021375	436.9037349164971	393.543298694529
BRDN0007696095	Tk1	1309.4960593514534	1167.9032810659494	1294.7504778197922	1461.4682375659959	1251.3076267564588	1401.6610638435282
BRDN0007696094	Tk1	1065.3151873962777	1169.0421433585539	1162.1899699406256	909.6075638857515	887.2211809927112	945.2227174124305
BRDN0007694605	Tinagl1	1664.4165557760969	1830.721135361788	1862.1323068026052	2116.0006644890764	2247.7547414782944	2151.010632590645
BRDN0007694604	Tinagl1	732.5426158655276	727.733004974297	764.5084463031254	702.6598112556599	686.015513596956	677.4695141910386
BRDN0007694603	Tinagl1	491.6839326444358	554.6259364984079	480.5318410619794	649.7196884898225	691.7642469511204	681.0635169188425
BRDN0007694602	Tinagl1	1287.9018325799072	1232.2490005981056	1186.1879929187505	1280.1884232466132	1318.376182555044	1371.1120406571947
BRDN0007694601	Tinagl1	678.2801998754886	748.2325262411787	739.367660326042	1068.4279321832637	1017.525803687105	964.989732415352
BRDN0007694600	Tinagl1	1127.3293770991793	1204.3468744292945	1162.1899699406256	1026.7175324283614	1025.1907814926576	1056.636801974352
BRDN0007693345	Timm13	808.9529567494602	869.5213604035615	861.6433012145837	912.8160561745901	933.2110478260266	1009.914766512901
BRDN0007693344	Timm13	105.75634136834148	93.38670799357176	93.1351844151042	219.78172178544614	256.77675648601144	195.87314866531355
BRDN0007693343	Timm13	562.0035941825477	573.4171643263827	560.5252509890628	330.47470575037886	377.5001569234646	424.09232188086236
BRDN0007693342	Timm13	115.72290757059356	133.24688823473045	125.13254838593755	118.7142146870293	120.72340043745315	84.45906410339208
BRDN0007693341	Timm13	155.58917237960188	169.69048159807554	120.56149639010422	145.98639914215764	134.13711159717016	129.38409820094105
BRDN0007693340	Timm13	508.2948763148559	584.8057872524281	516.528875529167	524.588489225116	530.7997130345162	544.4914132622936
BRDN0007696093	Timm10	79.17883149566929	60.35970150804029	44.567756959375025	105.88024553167477	120.72340043745315	97.0380736507058
BRDN0007696092	Timm10	731.9889177431803	698.6920165128814	727.3686488369796	848.6462103978175	837.3988252566194	833.808632850509
BRDN0007696091	Timm10	409.1829124146825	415.11530565435254	441.67789909739605	585.5498427130499	672.6018024372389	664.8905046437249
BRDN0007696090	Timm10	758.0127294935052	711.7889328778336	853.0725787223962	779.663626187787	726.256647076107	700.8305319217641
BRDN0007696089	Timm10	87.48430333087934	113.31679811415111	145.70228236718756	142.77790685331902	170.54575617354493	125.79009547313714
BRDN0007696088	Timm10	323.9134015731925	337.67266975724425	366.25554116614603	360.9553824943458	373.6676680206883	406.12230824184275
BRDN0007694599	Tial1	546.5000467568223	565.4451282781511	547.9548580005211	442.7719358597309	461.81491278454297	436.6713314281761
BRDN0007694598	Tial1	1016.5897526297118	1142.8483106286496	1031.3436065598964	1185.5379007258737	1128.6679818676175	1112.3438442553127
BRDN0007694597	Tial1	503.86529133607723	559.1813856688261	525.6709795208336	542.2351968137284	618.9469577983709	515.7393914398623
BRDN0007694596	Tial1	644.504614412301	696.4142919276724	613.0923489411462	665.7621499340156	632.3606689580879	751.146570111019
BRDN0007694595	Tial1	843.8359384573425	805.1756408714053	803.3623882677088	895.1693485859777	716.6754248191663	745.755566019313
BRDN0007694594	Tial1	1116.80911277458	1177.583610553088	1051.9133405411465	1159.8699624151645	1132.5004707703938	1227.351931545038
BRDN0007693339	Thrap3	989.4585446346923	933.8670799357177	938.2084221447922	1055.5939630279092	990.698381367671	927.2527037734109
BRDN0007693338	Thrap3	983.9215634112189	995.3656437363625	928.4949366536463	1001.0495941176524	1057.7669371662562	961.395729687548
BRDN0007693337	Thrap3	675.5117092637519	697.553154220277	768.5081167994796	818.1655336538505	915.9648477635334	959.5987283236461
BRDN0007693336	Thrap3	1234.746812834563	1441.7996624373397	1373.029743248438	814.957041365012	889.1374254440993	885.9216724036659
