sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007691133	Ccdc162	702.0656854385658	655.6237882620779	713.1757782007063	634.291630640542	641.6472090793295	626.5033441918965
BRDN0007691132	Ccdc162	969.7322206512674	963.3907406071173	919.5797228909181	1048.2690814507557	1089.8080174826755	1022.962491688331
BRDN0007696449	Ccdc144b	866.8818336124966	915.2828803207183	795.5262011461616	975.4232639262117	980.6618427423773	1042.5407211943277
BRDN0007691131	Ccdc134	1225.2611325488347	1158.9060189505592	1201.9994426077042	1080.2501720712874	1142.7273749325173	1186.1144042383041
BRDN0007691130	Ccdc134	373.711033650192	416.93478914879086	397.4991569097941	374.8894511628974	362.16685254735347	360.5657267354405
BRDN0007691129	Ccdc134	705.2597968372854	738.270625164353	755.4067643265809	330.4712697454925	330.74598406151006	345.88205460594287
BRDN0007691128	Ccdc134	603.6870543580025	631.5698581188784	587.0107071496561	406.87054178342896	396.895180873812	429.08953000642913
BRDN0007691127	Ccdc134	758.2820460560306	807.3485783961053	827.727328067141	582.7665401963524	563.9219028248746	551.4534644189089
BRDN0007691126	Ccdc134	1115.3837004328807	1086.1274610813914	1079.5295828426679	787.0901747164149	770.6381428633184	801.0758906203677
BRDN0007691125	Ccar1	1467.3747765717794	1477.1580177682752	1421.6005704622517	1366.303260399375	1326.2913960866551	1297.057704772286
BRDN0007691124	Ccar1	1089.19198696338	982.510531233763	1135.4856394594517	1193.9607164998438	1126.1900757294416	1226.9023823757973
BRDN0007691123	Ccar1	724.4244652296029	780.8275784946289	773.3549334300775	630.7381761271497	678.0292673260956	595.5044808074017
BRDN0007691122	Ccar1	576.217696329014	590.8632071073101	613.9329608049011	504.59054090171975	578.8054721076426	650.9761310743925
BRDN0007691121	Ccar1	926.292305628681	852.3726014846582	862.5678916209874	779.9832656896301	906.2439963285375	851.6529835108594
BRDN0007691120	Ccar1	895.628836200973	986.8279033107475	961.8107090167927	589.8734492231372	663.1456980433276	619.9772676898976
BRDN0007691119	Cbx4	484.2272880458898	572.9769513598028	543.7239463706347	273.61599753121425	335.7071738224327	347.5135737314426
BRDN0007691118	Cbx4	961.4275310145965	866.5582525947501	846.2033844972111	1018.0647180869205	1008.7752513876056	947.9126119153434
BRDN0007691117	Cbx4	852.1889211783865	824.6180667040434	811.3628209433646	966.5396276427308	954.2021640174564	843.4953878833606
BRDN0007691116	Cbx4	806.8325393165684	757.3904157909988	791.8309898601476	563.2225403726942	497.7727060125726	631.3979015683957
BRDN0007691115	Cbx4	972.926332049987	937.4865081452101	916.940286258051	863.4894467543513	879.7843176036167	792.918294992869
BRDN0007691114	Cbx4	845.8006983809473	846.8216945285352	883.1554973573514	762.2159931226682	805.3664711897769	776.6031037378717
