sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_BM	AR2481_BM	AR2482_BM	AR2483_BM
BRDN0007696137	Top2a	297.18172539627847	311.6832916935979	281.31247436153603	0.0	11.444787456485919	8.5141220134398	63.691898215359586
BRDN0007696136	Top2a	329.6174889351053	333.8550169577116	355.5326252548628	1295.8286748461976	336.476751220686	199.23045511449135	248.06318252297945
BRDN0007693375	Tomm40	585.1587070855925	503.98037042658376	557.9183050078855	294.69652121502236	178.53868432118034	88.54686893977393	1015.7181662765239
BRDN0007693374	Tomm40	624.6076086868684	690.308138511539	618.7426237887581	434.72961994840176	1803.6985031421807	572.1489993031546	476.0131340305822
BRDN0007693373	Tomm40	302.0032578142122	344.5145002577662	301.9492968050464	71.06157249156567	510.43752055927195	226.4756455574987	648.651700245899
BRDN0007693372	Tomm40	256.85618153719645	229.39208061717602	244.02137415659624	73.1516187413176	0.0	0.0	30.16984652306507
BRDN0007693371	Tomm40	341.4521594154881	351.3365695698012	316.4312774671589	71.06157249156567	130.47057700393947	54.49038088601473	268.17641353835614
BRDN0007693370	Tomm40	510.20579404316834	554.2931316028416	520.9892543194985	821.3881761525091	137.33744947783103	291.1829728596412	626.8623666459075
BRDN0007696135	Tomm20	343.64376506000343	377.77208815393675	375.8073981818203	267.52591996824725	20.600617421674652	194.12198190642746	2398.5027985836728
BRDN0007696134	Tomm20	394.92733714166206	390.5634681140023	357.3428728376268	89.87198873933306	135.04849198653383	1759.017607976663	68.72020596920376
BRDN0007696133	Tomm20	416.84339358681535	366.68622552187986	408.75390418812634	10.450231248759659	254.0742815339874	550.0122820682111	189.39959206146403
BRDN0007696132	Tomm20	300.2499732985999	317.6526023416285	324.03431731476803	114.95254373635625	2.2889574912971837	100.46663975858965	722.4002139689469
BRDN0007696131	Tomm20	649.1535919054401	600.3420994590778	616.5703266894412	374.11827870559574	9.155829965188735	274.1547288327616	263.148105784512
BRDN0007696130	Tomm20	612.7729382064857	624.2193420512002	613.3118810404659	263.3458274687434	1844.89973798553	594.2857165380981	722.4002139689469
BRDN0007694641	Tns3	826.6736491111817	844.6574566963303	788.5438470520277	4654.532998197552	3444.8810244022616	1132.3782277874936	1117.9604239380221
BRDN0007694640	Tns3	698.6838794714865	720.154691751692	676.3084969206554	856.918962398292	666.0866299674805	1079.5906713041668	586.6359046151541
BRDN0007694639	Tns3	468.12696566847404	535.9588203267477	460.8890345717315	7285.901226635234	412.01234843349306	98.7638153559017	330.19220916910103
BRDN0007694638	Tns3	712.7101555963847	746.1638310038254	717.2200922911234	298.87661371452623	2652.901732413436	614.7196093703536	1620.79119932244
BRDN0007694637	Tns3	1021.7265514730459	915.010046476691	869.6429387598579	2031.5249547588776	3747.0234132534897	2467.392559494854	5254.581602767166
BRDN0007694636	Tns3	379.5860976300548	439.1707119622515	431.9250732475064	156.75346873139486	494.4148181201917	521.0642672225158	85.48123181535102
BRDN0007693369	Tnfrsf11a	561.0510449959239	506.11226708659467	520.9892543194985	710.6157249156568	540.1939679461353	447.84281790693353	648.651700245899
BRDN0007693368	Tnfrsf11a	339.6988748998758	346.22001758577494	349.01573395691213	474.4404986936885	265.51906899047333	384.838315007479	544.7333399997859
BRDN0007693367	Tnfrsf11a	438.75945003196864	457.9314025703477	487.31864928008685	119.1326362358601	185.40555679507187	137.92877661772476	174.3146687999315
BRDN0007693366	Tnfrsf11a	338.3839115131666	358.58501821383834	300.50109873883514	79.4217574905734	20.600617421674652	126.00900579890906	97.21394990765411
BRDN0007693365	Tnfrsf11a	561.92768725373	553.4403729388373	568.0556914713643	2204.998793488288	167.09389686469441	73.22144931558229	353.65764535370715
BRDN0007693364	Tnfrsf11a	715.7784034987061	730.8141750517467	810.6288675617493	334.4073999603091	5784.195580507983	808.8415912767811	405.61682547676367
BRDN0007696129	Tmx2	442.26601906319314	390.1370887820001	427.58047904887263	217.36480997420088	34.33436236945776	148.14572303385253	147.49702744609587
BRDN0007696128	Tmx2	358.9850045716107	333.8550169577116	375.8073981818203	177.6539312289142	59.51289477372678	439.3286958934937	5.028307753844178
BRDN0007696127	Tmx2	616.2795072377102	609.2960654311237	587.2443158486634	22.99050874727125	684.3982898978579	59.598854094078604	120.67938609226027
BRDN0007696126	Tmx2	389.22916246592223	352.6157075658078	428.6666275985311	50.161109994046356	183.1165993037747	808.8415912767811	1166.5673988918493
BRDN0007696125	Tmx2	671.0696483505934	776.0103842439784	686.8079329006871	60.61134124280602	1361.9297073218243	180.4993866849238	219.5694385845291
BRDN0007696124	Tmx2	415.96675132900924	400.79657208205475	393.1857749763554	129.58286748461975	64.09080975632115	30.650839248383285	88.83343698458047
BRDN0007694635	Tmprss7	614.5262227220979	590.9617541550297	576.3828303520789	808.8478986539975	1068.943148435785	228.17846996018667	400.5885177229195
BRDN0007694634	Tmprss7	705.2586964050325	776.8631429079827	721.5646864897572	823.478222402261	1320.728472478475	653.8845706321767	1218.5265790149058
BRDN0007694633	Tmprss7	418.1583569735246	480.9558864984657	455.8203413399921	654.1844761723546	107.58100209096763	512.550145209076	941.969652553476
BRDN0007694632	Tmprss7	536.5050617773522	470.72278253041327	562.2628992065193	545.5020711852542	519.5933505244607	977.4212071428891	224.59774633837327
BRDN0007694631	Tmprss7	578.5838901520466	653.639515959351	537.2814825643751	2384.742770966954	68.66872473891551	762.8653324042061	271.5286187075856
BRDN0007694630	Tmprss7	497.9328024338825	556.4250282628526	530.7645912664245	254.98564246973567	194.5613867602606	1457.617688700894	491.0980572921147
BRDN0007696123	Tmem94	638.1955636828635	694.5719318315608	681.015140635842	915.4402573913461	1957.0586550590922	1115.349983760614	3459.4757346447946
BRDN0007696122	Tmem94	378.2711342433456	414.4407107061247	455.0962423068865	426.3694349493941	3582.2184738800925	253.72083600050607	187.7234894768493
BRDN0007696121	Tmem94	663.1798680303382	628.0567560392199	763.5624304098835	790.0374824062302	4740.430964476467	618.1252581757295	1104.5516032611044
BRDN0007696120	Tmem94	616.7178283666133	569.6427875549203	639.7414957488213	1521.5536698194062	1082.6768933835679	4657.2247413515715	358.68595310755137
BRDN0007696119	Tmem94	545.2714843554136	462.62157522237175	522.075402869157	4669.163321945815	242.62949407750148	779.8935764310858	918.5042163688698
